Time, Top10wealth, Top10income, Top10netincome, Giniconsumption
1954.75, 0.6750642488745106, 0.30311324644552784, 0.25621733053549295, 0.25691968785346064
1955.0, 0.6744863966642713, 0.3035831295707232, 0.26122795757977013, 0.2559186107228201
1955.25, 0.673716685380232, 0.30444786489608017, 0.2659708771429396, 0.25466604071886867
1955.5, 0.67280676298855, 0.3035559828014781, 0.2662010700406906, 0.25390261086019555
1955.75, 0.6716788939053395, 0.30203359036874405, 0.26809611940661393, 0.25625803011675446
1956.0, 0.6701565554425941, 0.29981260672612614, 0.26768154175299225, 0.2582835445178369
1956.25, 0.668256542313604, 0.2985583414545234, 0.26650338726582296, 0.2572927750919931
1956.5, 0.6664016014961365, 0.297975628905962, 0.26172897711691806, 0.25792236906847055
1956.75, 0.664754254371331, 0.29697351819479145, 0.26244746011204273, 0.25542416559183057
1957.0, 0.6632194894892822, 0.2957204644455584, 0.25709979338907796, 0.25676003486882265
1957.25, 0.6616308989229495, 0.2953014105502596, 0.2577965668804198, 0.2568199072999292
1957.5, 0.6601423748589781, 0.2967830498262031, 0.256405207533995, 0.2537828915173949
1957.75, 0.6591644186850528, 0.29949486847205004, 0.2503415370343727, 0.24883848248938018
1958.0, 0.6590631684911724, 0.3008615258591088, 0.24175647445666557, 0.2520462350545801
1958.25, 0.6592098445467531, 0.30402708402051715, 0.2407216198199038, 0.24752728872488344
1958.5, 0.6599310673648372, 0.30139149670209847, 0.24131691180922732, 0.2485017874438619
1958.75, 0.6600754369595069, 0.30127636948686465, 0.24954580190315195, 0.25220096362504524
1959.0, 0.6596335694891351, 0.2991182865351098, 0.25572672578273253, 0.25253839622619845
1959.25, 0.6586954010153423, 0.29819077959803586, 0.2629069825925182, 0.2547477070653588
1959.5, 0.6573427780814999, 0.2984232401892043, 0.26014103279442874, 0.25213444821595843
1959.75, 0.6563571565271116, 0.2985088106848045, 0.2609731854867967, 0.2537237704618127
1960.0, 0.655386613533663, 0.29700316718878383, 0.26288712049633856, 0.25218245506453146
1960.25, 0.6544914416129064, 0.2945022401945567, 0.2589921191810678, 0.25018806376085395
1960.5, 0.6537132939918076, 0.2948287896920757, 0.25796692327077136, 0.2530472419940381
1960.75, 0.6530065733058652, 0.2921458786920371, 0.2502925509888654, 0.2511455470153162
1961.0, 0.65244875273866, 0.29235194965992045, 0.24948010079072522, 0.25285284451857815
1961.25, 0.6519573962440566, 0.2928177466375876, 0.2486644344898546, 0.24868371327752042
1961.5, 0.6518564346935637, 0.29370231653535606, 0.2521330748317438, 0.25006414520843623
1961.75, 0.6515978547552319, 0.2930443144275494, 0.25431383384339423, 0.24942038552659976
1962.0, 0.6510897460491013, 0.2950610082565169, 0.25684850317621066, 0.2493007738977692
1962.25, 0.6506586123543394, 0.29327751505664446, 0.2588542190823046, 0.25034331552078115
1962.5, 0.6498381937278807, 0.29604393585107847, 0.2598344537418166, 0.24975313938432503
1962.75, 0.6493349333517608, 0.29845024525241903, 0.25703640925733384, 0.2456658878155682
1963.0, 0.6493865387613227, 0.29823124389874567, 0.2576154545212697, 0.24813648850439338
1963.25, 0.6491447829779557, 0.2975160262461035, 0.2592080218583042, 0.24811430280434624
1963.5, 0.6487306452734793, 0.300158349250926, 0.26025650087303964, 0.24474898599841952
1963.75, 0.6486561027831992, 0.2988934039981819, 0.25869346224584533, 0.2471739713937209
1964.0, 0.6481701291465278, 0.298796829141248, 0.2663070546019888, 0.24928009977016072
1964.25, 0.6473533012051544, 0.300891881569776, 0.26800643902457116, 0.2468711157140394
1964.5, 0.6469264937534358, 0.3016381984362563, 0.26799986679821014, 0.24527973551764665
1964.75, 0.6467391939563871, 0.2995458803897135, 0.26914013552114197, 0.24871487563762887
1965.0, 0.6461598336920871, 0.29950658021128573, 0.27346568723754333, 0.24718535650239962
1965.25, 0.6456033778975305, 0.2996608714661938, 0.2749293257518744, 0.24639276832906518
1965.5, 0.6450113123810837, 0.3035518692718641, 0.27631926823860453, 0.24243717826722377
1965.75, 0.6450042902219001, 0.30534906719726396, 0.2749103656551878, 0.2383464454526194
1966.0, 0.6452975728790434, 0.30604398297903496, 0.2765026531251608, 0.2368705078685246
1966.25, 0.6454296593833502, 0.30346983296977426, 0.2732118213163882, 0.23722139716097765
1966.5, 0.645099883771139, 0.30329523427458843, 0.2702756327342235, 0.23561152344195413
1966.75, 0.6447763831554624, 0.30502240815349535, 0.2683823207857971, 0.23382112854848675
1967.0, 0.644693726776235, 0.3069900886914519, 0.26841357847552383, 0.2329437477554005
1967.25, 0.6448293727322729, 0.3082843211072206, 0.263209649517491, 0.22988949650016757
1967.5, 0.6455205713917926, 0.3084608088795562, 0.2617424781353614, 0.23162546706519505
1967.75, 0.6461466528065448, 0.3078653632954643, 0.26210560274060685, 0.23232895565712233
1968.0, 0.6466529214483228, 0.3090153843716941, 0.25996073239074496, 0.2264562172145395
1968.25, 0.6475990229464442, 0.30830338943825136, 0.260938341764067, 0.22652877650057796
1968.5, 0.6483113482096172, 0.3059593774739049, 0.2586942548224958, 0.224241573573656
1968.75, 0.6488665956653005, 0.3020159366617327, 0.25494209286947767, 0.22533266426464166
1969.0, 0.6489373022539231, 0.29956792586628345, 0.2566437029474743, 0.2239185275260575
1969.25, 0.6488477047801209, 0.29580913331251313, 0.25413252310565776, 0.22396856388705771
1969.5, 0.6483886273837711, 0.2936925928179673, 0.2536526130829065, 0.22484479041364328
1969.75, 0.6477107926514454, 0.29079931313277885, 0.24867881417953946, 0.22245780020814804
